region,date,recent_cases
Buangkok,2015-09-25,19
Buangkok,2015-09-28,14
Buangkok,2015-10-02,6
Buangkok,2015-10-05,10
Buangkok,2015-10-09,14
Buangkok,2015-10-12,12
Buangkok,2015-10-19,3
Buangkok,2015-10-26,17
Buangkok,2015-11-02,11
Buangkok,2015-11-09,9
Buangkok,2015-11-16,13
Buangkok,2015-11-23,10
Buangkok,2015-11-30,19
Buangkok,2015-12-07,12
Buangkok,2015-12-14,14
Buangkok,2015-12-21,11
Buangkok,2015-12-28,11
Buangkok,2016-01-04,16
Buangkok,2016-01-11,27
Buangkok,2016-01-18,31
Buangkok,2016-01-26,49
Buangkok,2016-02-01,50
Buangkok,2016-02-10,28
Buangkok,2016-02-15,26
Buangkok,2016-02-23,21
Buangkok,2016-03-01,44
Buangkok,2016-03-07,35
Buangkok,2016-03-14,22
Buangkok,2016-03-22,28
Buangkok,2016-03-29,19
Buangkok,2016-04-04,27
Buangkok,2016-04-11,18
Buangkok,2016-04-18,15
Buangkok,2016-04-25,12
Buangkok,2016-05-03,16
Buangkok,2016-05-09,7
Buangkok,2016-05-24,5
Buangkok,2016-05-30,6
Buangkok,2016-06-06,4
Buangkok,2016-06-13,7
Buangkok,2016-06-20,10
Buangkok,2016-06-30,16
Buangkok,2016-07-04,14
Buangkok,2016-07-12,19
Buangkok,2016-07-18,15
Buangkok,2016-07-26,5
Buangkok,2016-08-01,7
Buangkok,2016-08-10,2
Buangkok,2016-08-23,2
Buangkok,2016-08-29,1
Buangkok,2016-09-05,8
Buangkok,2016-09-13,1
Buangkok,2016-09-19,5
Buangkok,2016-09-26,6
Buangkok,2016-10-10,2
Buangkok,2016-10-17,5
Buangkok,2016-10-24,2
Buangkok,2016-10-31,1
Buangkok,2016-11-14,7
Buangkok,2016-11-21,6
Buangkok,2016-11-28,7
Buangkok,2016-12-05,12
Buangkok,2016-12-12,11
Buangkok,2016-12-19,9
Buangkok,2016-12-27,12
Buangkok,2017-01-03,3
Buangkok,2017-01-09,2
Buangkok,2017-01-16,8
Buangkok,2017-01-23,6
Buangkok,2017-01-31,1
Buangkok,2017-02-06,1
Buangkok,2017-06-12,1
Buangkok,2017-06-19,3
Buangkok,2017-06-28,4
Buangkok,2017-07-17,6
Buangkok,2017-07-24,6
Buangkok,2017-07-31,2
Buangkok,2017-08-10,5
Buangkok,2017-08-14,3
Buangkok,2017-08-21,5
Buangkok,2017-08-29,3
Buangkok,2017-09-04,1
Buangkok,2017-09-18,4
Buangkok,2017-09-25,6
Buangkok,2017-10-02,1
Buangkok,2017-12-26,7
Buangkok,2018-01-02,8
Buangkok,2018-01-11,43
Buangkok,2018-01-15,37
Buangkok,2018-01-22,10
Buangkok,2018-01-29,8
Buangkok,2018-02-05,3
Buangkok,2018-02-12,3
Buangkok,2018-03-12,1
Buangkok,2018-07-09,1
Buangkok,2018-07-16,1
Buangkok,2018-09-17,1
Buangkok,2018-11-16,2
Buangkok,2018-11-19,2
Buangkok,2018-11-26,1
Buangkok,2018-12-03,3
Buangkok,2018-12-10,3
Buangkok,2018-12-17,2
Buangkok,2018-12-24,4
Buangkok,2018-12-31,6
Buangkok,2019-01-07,9
Buangkok,2019-01-14,20
Buangkok,2019-01-21,16
Buangkok,2019-01-29,22
Buangkok,2019-04-03,6
Buangkok,2019-04-09,5
Buangkok,2019-04-16,10
Buangkok,2019-04-23,14
Buangkok,2019-04-29,5
Buangkok,2019-05-06,7
Buangkok,2019-05-13,12
Buangkok,2019-05-22,16
Buangkok,2019-05-27,25
Buangkok,2019-06-03,39
Buangkok,2019-06-10,42
Buangkok,2019-06-19,56
Buangkok,2019-06-26,58
Buangkok,2019-07-02,46
Buangkok,2019-07-08,63
Buangkok,2019-07-16,77
Buangkok,2019-07-26,57
Buangkok,2019-08-08,57
Buangkok,2019-08-16,52
Buangkok,2019-08-23,47
Buangkok,2019-08-30,46
Buangkok,2019-09-06,55
Buangkok,2019-09-13,57
Buangkok,2019-09-20,43
Buangkok,2019-09-27,37
Buangkok,2019-10-04,21
Buangkok,2019-10-11,32
Buangkok,2019-10-18,37
Buangkok,2019-10-25,54
Buangkok,2019-11-01,52
Buangkok,2019-11-08,38
Buangkok,2019-11-15,46
Buangkok,2019-11-22,59
Buangkok,2019-11-29,48
Buangkok,2019-12-06,60
Buangkok,2019-12-13,33
Buangkok,2019-12-20,29
Buangkok,2019-12-27,42
Buangkok,2020-01-03,41
Buangkok,2020-01-10,60
Buangkok,2020-01-17,48
Buangkok,2020-01-24,57
Buangkok,2020-01-31,60
Buangkok,2020-02-07,50
Buangkok,2020-02-14,42
Buangkok,2020-02-21,69
Buangkok,2020-02-28,62
Buangkok,2020-03-06,58
Buangkok,2020-03-13,64
Buangkok,2020-03-20,55
Buangkok,2020-03-27,66
Buangkok,2020-04-03,50
Buangkok,2020-04-09,54
Buangkok,2020-04-17,44
Buangkok,2020-04-24,38
Buangkok,2020-04-30,49
Buangkok,2020-05-08,44
Buangkok,2020-05-15,58
Buangkok,2020-05-22,59
Buangkok,2020-05-29,50
Buangkok,2020-06-05,63
Buangkok,2020-07-03,195
Buangkok,2020-08-07,301
